                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0861,                  4.038,                 1.5384,                0.04855,                0.06897,                 0.0115,                0.00352,                 1.9342,                 5.0975,                 1.8943,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.0948,                 4.1578,                 1.5576,                0.06508,                0.06897,                0.01452,                0.00398,                 1.9952,                 4.9184,                 1.9498,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 1.5821,                 2.8142,                 1.3227,                0.55921,                0.51724,                 0.5022,                0.27871,                 1.1605,                 2.9534,                 1.2188,             0.00015366,             0.00015366,             0.00015366
                      4,                0.96284,                 1.2437,                0.99821,                0.55098,                0.48276,                0.48015,                 0.3136,                 1.2793,                 2.7971,                 1.1125,             0.00020693,             0.00020693,             0.00020693
                      5,                 0.9193,                 1.0687,                0.96349,                0.81321,                0.89655,                0.87707,                0.66277,                0.93213,                 2.2674,                0.96483,             0.00025782,             0.00025782,             0.00025782
                      6,                0.90046,                0.80442,                0.92252,                0.95066,                0.82759,                0.89328,                0.66831,                0.93615,                 1.8291,                0.95526,             0.00030634,             0.00030634,             0.00030634
                      7,                 0.8704,                0.87042,                 0.9169,                0.81048,                0.75862,                0.81111,                0.61859,                0.94657,                 1.8103,                0.96536,             0.00035248,             0.00035248,             0.00035248
                      8,                0.85777,                0.77569,                0.94029,                0.88405,                0.78891,                0.86608,                0.65447,                 0.9499,                 1.4244,                0.97094,             0.00039624,             0.00039624,             0.00039624
                      9,                0.83989,                0.75888,                0.92316,                0.92583,                0.93103,                0.94887,                0.72472,                0.91214,                 1.2088,                0.96845,             0.00043763,             0.00043763,             0.00043763
                     10,                0.95774,                 1.0048,                 0.9655,                0.95717,                0.86207,                0.94264,                0.70884,                0.91113,                 1.1258,                0.97642,             0.00047664,             0.00047664,             0.00047664
                     11,                0.89865,                0.81674,                0.93538,                0.95635,                0.75557,                0.89657,                0.65275,                 0.9605,                 1.2922,                0.97186,             0.00051328,             0.00051328,             0.00051328
                     12,                0.84351,                0.75215,                0.92264,                      1,                0.91731,                0.96007,                0.67985,                 1.0027,                 1.0799,                  1.002,             0.00054754,             0.00054754,             0.00054754
                     13,                0.87859,                0.70312,                0.94091,                0.87495,                0.68966,                0.85917,                0.62536,                0.94747,                 1.4003,                0.98318,             0.00057942,             0.00057942,             0.00057942
