                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1277,                 4.0808,                 1.6231,                0.09294,                0.04167,                0.01305,                0.00857,                 1.9424,                 4.9826,                 1.8856,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.6304,                 2.3496,                 1.2715,                0.21476,                   0.25,                0.20282,                0.10888,                 1.2843,                  3.385,                 1.3579,              9.604e-05,              9.604e-05,              9.604e-05
                      3,                0.93976,                 1.1677,                0.96519,                0.55719,                    0.5,                 0.5545,                0.40729,                 1.0596,                 2.9207,                 1.0577,             0.00014733,             0.00014733,             0.00014733
                      4,                  1.205,                 1.1441,                 1.0736,                0.80667,                0.58333,                 0.6972,                0.44723,                 1.1484,                 2.3766,                  1.038,             0.00019386,             0.00019386,             0.00019386
                      5,                0.86247,                 1.0282,                0.93165,                0.50952,                  0.625,                0.50501,                0.36221,                 1.0823,                 2.0177,                 1.0182,             0.00023565,             0.00023565,             0.00023565
                      6,                0.90743,                0.86867,                 0.8994,                0.84966,                0.70655,                 0.7878,                0.57783,                 1.0194,                 1.6569,                 1.0295,             0.00027268,             0.00027268,             0.00027268
                      7,                0.84898,                0.97671,                0.91428,                0.80677,                0.79167,                0.85778,                0.63657,                 1.0179,                 1.9436,                 1.0508,             0.00030496,             0.00030496,             0.00030496
                      8,                 0.8897,                0.83484,                  0.967,                0.88801,                0.83333,                0.91901,                0.69694,                0.96767,                 1.7412,                 1.0232,             0.00033249,             0.00033249,             0.00033249
                      9,                0.90776,                 0.7824,                0.90664,                0.63471,                0.66667,                0.67999,                0.49774,                0.99637,                  1.677,                0.99449,             0.00035526,             0.00035526,             0.00035526
                     10,                 0.8309,                0.76221,                0.89568,                0.59797,                0.91667,                 0.7905,                0.55831,                 1.0306,                 1.3482,                 1.0377,             0.00037329,             0.00037329,             0.00037329
                     11,                0.78932,                0.67136,                0.91725,                0.89593,                  0.875,                0.93843,                0.68348,                0.97759,                 1.0779,                 1.0356,             0.00038656,             0.00038656,             0.00038656
                     12,                 0.8922,                0.72403,                0.95272,                0.90849,                0.91667,                0.93528,                0.68064,                0.99514,                0.99239,                 1.0529,             0.00039508,             0.00039508,             0.00039508
                     13,                0.83835,                0.70483,                0.89135,                0.87592,                0.95833,                0.95077,                0.67772,                0.98769,                0.96634,                0.99762,             0.00039885,             0.00039885,             0.00039885
                     14,                0.83156,                0.71286,                 0.9541,                 0.8839,                0.95191,                0.97161,                0.71741,                0.97262,                 0.9147,                0.99058,             0.00039786,             0.00039786,             0.00039786
                     15,                0.87415,                0.67147,                 0.9545,                0.91324,                0.91667,                0.94027,                0.70274,                0.96722,                0.80533,                0.99234,             0.00039213,             0.00039213,             0.00039213
                     16,                0.90048,                0.63141,                0.96583,                0.93988,                0.91667,                0.97029,                0.71585,                0.96478,                0.79359,                0.98953,             0.00038164,             0.00038164,             0.00038164
                     17,                 0.8339,                0.81748,                0.97952,                0.83026,                0.81568,                0.90932,                0.64093,                 1.0574,                0.94737,                  1.009,              0.0003664,              0.0003664,              0.0003664
                     18,                0.88942,                 0.9339,                0.96565,                0.77668,                0.86966,                0.89735,                0.62815,                 1.0784,                 1.0189,                 1.0257,             0.00034641,             0.00034641,             0.00034641
                     19,                0.82432,                 0.6392,                0.95192,                0.86233,                0.83333,                0.88396,                0.62908,                 1.0409,                 1.0004,                 1.0305,             0.00032166,             0.00032166,             0.00032166
                     20,                0.67097,                0.58659,                0.85535,                0.89446,                  0.875,                0.91641,                0.65353,                 1.0108,                0.91706,                 1.0255,             0.00029217,             0.00029217,             0.00029217
                     21,                0.76379,                0.58565,                0.91493,                0.91294,                0.87392,                0.94102,                 0.7017,                0.98145,                0.81138,                 1.0001,             0.00025792,             0.00025792,             0.00025792
                     22,                0.82917,                0.63492,                0.91286,                0.91473,                0.89441,                0.96481,                0.69132,                0.98001,                0.78756,                0.99769,             0.00021892,             0.00021892,             0.00021892
                     23,                 0.6613,                0.48731,                0.86737,                 0.9101,                0.91667,                0.96794,                0.71272,                0.98448,                0.73847,                0.99732,             0.00017517,             0.00017517,             0.00017517
                     24,                0.77049,                0.54184,                  0.873,                0.91957,                0.95298,                0.97159,                0.70731,                 0.9905,                0.71155,                0.99732,             0.00012666,             0.00012666,             0.00012666
                     25,                0.79544,                0.56898,                0.87786,                0.91785,                      1,                0.97269,                0.70698,                0.99349,                0.69477,                0.99657,             7.3408e-05,             7.3408e-05,             7.3408e-05
